Branch_ID,Branch_Name,City,Region,Branch_Type,Customers,Deposits,Loans,Interest_Income,Fee_Income,Employee_Cost,Rent_Expense,Other_Operating_Expense,Loan_Defaults,Month,Year
BR019,Patna Main Branch,Patna,East,Semi-Urban,8684,5676.21,3444.25,22.89,10.4,9.85,4.99,6.8,1,January,2025
BR020,Ranchi Main Branch,Ranchi,East,Semi-Urban,10814,7097.31,4123.77,30.04,14.83,11.26,2.43,5.27,3,January,2025
BR001,MG Road Branch,Bengaluru,South,Metro,34358,33587.61,24046.15,182.84,71.44,39.94,24.36,13.81,10,February,2025
BR002,Indiranagar Branch,Bengaluru,South,Metro,29005,22124.74,16728.14,134.86,51.76,50.74,18.02,20.68,13,February,2025
BR003,Koramangala Branch,Bengaluru,South,Metro,24131,21220.4,13933.14,102.91,50.24,41.08,22.91,16.48,10,February,2025
BR004,Whitefield Branch,Bengaluru,South,Urban,13062,10591.95,7269.21,57.71,22.61,19.72,9.33,9.09,4,February,2025
BR005,Hubli Main Branch,Hubli,South,Urban,15523,9472.66,5535.24,35.96,21.02,27.75,11.64,5.84,5,February,2025
BR006,Mysore Central Branch,Mysore,South,Urban,20332,12668.36,8507.32,61.17,37.77,25.5,9.27,8.62,8,February,2025
BR007,Chennai Central Branch,Chennai,South,Metro,29746,32955.73,26841.13,227.61,84.96,28.43,19.11,11.52,14,February,2025
BR008,Coimbatore Main Branch,Coimbatore,South,Urban,18226,12357.24,8215.39,59.82,33.57,15.74,6.37,8.38,8,February,2025
BR009,Hyderabad Central Branch,Hyderabad,South,Metro,23996,18157.33,11269.76,91.76,42.7,27.9,19.06,7.06,14,February,2025
BR010,Pune Camp Branch,Pune,West,Metro,33674,29717.76,23271.2,165.32,67.94,53.11,29.38,15.21,11,February,2025
BR011,Mumbai Andheri Branch,Mumbai,West,Metro,26683,22163.06,16590.94,130.14,74.48,31.53,20.1,11.13,5,February,2025
BR012,Nagpur Main Branch,Nagpur,West,Urban,18200,14509.03,10496.1,80.85,25.89,19.89,8.93,7.55,11,February,2025
BR013,Ahmedabad Central Branch,Ahmedabad,West,Metro,18511,14134.23,9057.64,68.14,36.56,34.08,22.83,17.02,5,February,2025
BR014,Jaipur Main Branch,Jaipur,North,Urban,11693,8126.24,5038.46,39.67,19.25,22.58,5.98,9.55,2,February,2025
BR015,Delhi Connaught Branch,Delhi,North,Metro,29382,23985.2,18708.09,145.14,69.22,31.26,20.12,14.2,6,February,2025
BR016,Lucknow Central Branch,Lucknow,North,Urban,11849,6455.68,3650.34,24.8,13.98,26.45,10.65,7.52,2,February,2025
BR017,Kolkata Central Branch,Kolkata,East,Metro,27677,18941.42,11841.44,83.53,40.39,34.7,12.09,11.33,6,February,2025
BR018,Bhubaneswar Main Branch,Bhubaneswar,East,Urban,11372,9046.83,6763.4,49.53,18.1,19.51,9.92,7.54,5,February,2025
BR019,Patna Main Branch,Patna,East,Semi-Urban,8609,5488.37,3314.35,21.36,9.9,9.81,4.99,6.2,0,February,2025
BR020,Ranchi Main Branch,Ranchi,East,Semi-Urban,10878,7022.03,4216.37,29.77,14.93,11.59,2.43,5.24,1,February,2025
BR001,MG Road Branch,Bengaluru,South,Metro,34591,34467.24,25004.46,191.98,70.25,39.96,24.36,12.54,11,March,2025
BR002,Indiranagar Branch,Bengaluru,South,Metro,29423,22054.12,16816.13,132.37,53.24,50.79,18.02,21.87,5,March,2025
BR003,Koramangala Branch,Bengaluru,South,Metro,25145,21720.47,14705.04,108.35,52.01,41.57,22.91,17.4,7,March,2025
BR004,Whitefield Branch,Bengaluru,South,Urban,13081,10451.97,7122.66,55.18,23.22,19.79,9.33,8.23,5,March,2025
BR005,Hubli Main Branch,Hubli,South,Urban,15871,9836.01,5823.18,38.36,21.05,27.75,11.64,5.76,5,March,2025
BR006,Mysore Central Branch,Mysore,South,Urban,20403,13015.38,8501.93,60.18,37.46,25.92,9.27,8.6,5,March,2025
BR007,Chennai Central Branch,Chennai,South,Metro,29340,32342.3,26897.38,225.57,86.57,28.36,19.11,12.23,11,March,2025
BR008,Coimbatore Main Branch,Coimbatore,South,Urban,18258,12183.28,7980.51,57.94,34.93,15.43,6.37,8.25,1,March,2025
BR009,Hyderabad Central Branch,Hyderabad,South,Metro,25154,19458.72,11931.56,96.05,46.88,27.99,19.06,6.79,9,March,2025
BR010,Pune Camp Branch,Pune,West,Metro,34635,31485.14,24130.58,171.32,70.6,52.13,29.38,14.53,16,March,2025
BR011,Mumbai Andheri Branch,Mumbai,West,Metro,27349,22263.0,16495.41,130.31,74.44,31.36,20.1,11.74,7,March,2025
BR012,Nagpur Main Branch,Nagpur,West,Urban,18577,14566.46,10838.97,82.52,25.67,19.73,8.93,8.14,5,March,2025
BR013,Ahmedabad Central Branch,Ahmedabad,West,Metro,18196,13779.37,9008.95,68.97,35.8,34.72,22.83,17.93,4,March,2025
BR014,Jaipur Main Branch,Jaipur,North,Urban,12149,8754.59,5484.45,43.16,20.58,22.8,5.98,9.4,2,March,2025
BR015,Delhi Connaught Branch,Delhi,North,Metro,28846,23731.67,18394.06,139.25,68.05,31.19,20.12,12.62,9,March,2025
BR016,Lucknow Central Branch,Lucknow,North,Urban,11687,6457.89,3723.51,25.38,14.1,26.78,10.65,6.93,1,March,2025
BR017,Kolkata Central Branch,Kolkata,East,Metro,27312,18449.15,11407.54,80.19,40.35,35.13,12.09,12.39,9,March,2025
BR018,Bhubaneswar Main Branch,Bhubaneswar,East,Urban,11928,9574.99,6999.06,51.5,19.04,19.96,9.92,8.18,0,March,2025
BR019,Patna Main Branch,Patna,East,Semi-Urban,8725,5650.04,3478.94,22.51,10.01,9.97,4.99,7.04,1,March,2025
BR020,Ranchi Main Branch,Ranchi,East,Semi-Urban,10657,7018.53,4036.37,29.04,14.52,11.45,2.43,5.07,1,March,2025
BR001,MG Road Branch,Bengaluru,South,Metro,33851,33690.95,24827.75,190.82,70.09,39.84,24.36,12.51,18,April,2025
BR002,Indiranagar Branch,Bengaluru,South,Metro,29981,22410.4,16710.25,133.92,52.63,51.49,18.02,21.04,10,April,2025
BR003,Koramangala Branch,Bengaluru,South,Metro,24591,21534.05,14123.67,102.98,50.86,41.4,22.91,18.41,5,April,2025
BR004,Whitefield Branch,Bengaluru,South,Urban,13196,10638.45,7197.3,56.05,23.14,19.89,9.33,8.13,6,April,2025
BR005,Hubli Main Branch,Hubli,South,Urban,15941,9966.4,5993.98,40.1,21.07,27.54,11.64,5.5,4,April,2025
BR006,Mysore Central Branch,Mysore,South,Urban,20133,12990.23,8356.75,60.49,35.88,26.16,9.27,9.2,7,April,2025
BR007,Chennai Central Branch,Chennai,South,Metro,28829,30916.67,25484.03,213.69,84.58,28.33,19.11,11.24,18,April,2025
BR008,Coimbatore Main Branch,Coimbatore,South,Urban,18096,12220.85,8091.61,58.21,32.75,15.76,6.37,7.52,13,April,2025
BR009,Hyderabad Central Branch,Hyderabad,South,Metro,25113,18897.37,11324.8,89.92,45.07,27.65,19.06,6.89,0,April,2025
BR010,Pune Camp Branch,Pune,West,Metro,34920,31191.01,23744.53,169.18,70.41,53.55,29.38,15.61,12,April,2025
BR011,Mumbai Andheri Branch,Mumbai,West,Metro,26489,21453.7,15767.21,124.76,71.65,31.2,20.1,12.71,8,April,2025
BR012,Nagpur Main Branch,Nagpur,West,Urban,18756,15015.5,10732.33,83.92,25.62,19.81,8.93,7.58,4,April,2025
BR013,Ahmedabad Central Branch,Ahmedabad,West,Metro,18931,14872.97,9913.86,76.64,38.6,34.49,22.83,16.87,4,April,2025
BR014,Jaipur Main Branch,Jaipur,North,Urban,11826,8433.81,5204.48,41.92,19.85,22.85,5.98,10.32,6,April,2025
BR015,Delhi Connaught Branch,Delhi,North,Metro,29908,25238.36,19597.24,153.3,73.13,31.08,20.12,13.55,18,April,2025
BR016,Lucknow Central Branch,Lucknow,North,Urban,12090,6523.4,3665.09,24.9,14.37,26.9,10.65,7.66,0,April,2025
BR017,Kolkata Central Branch,Kolkata,East,Metro,27729,19040.92,12349.05,88.39,40.18,35.35,12.09,11.73,10,April,2025
BR018,Bhubaneswar Main Branch,Bhubaneswar,East,Urban,11610,9299.27,6772.33,49.27,18.38,19.8,9.92,7.24,5,April,2025
BR019,Patna Main Branch,Patna,East,Semi-Urban,8660,5559.12,3398.34,22.44,10.27,9.85,4.99,6.3,2,April,2025
BR020,Ranchi Main Branch,Ranchi,East,Semi-Urban,11134,7269.02,4202.38,29.64,15.54,11.48,2.43,4.77,3,April,2025
BR001,MG Road Branch,Bengaluru,South,Metro,34882,34030.35,24339.74,189.95,71.4,40.11,24.36,12.63,13,May,2025
BR002,Indiranagar Branch,Bengaluru,South,Metro,29400,22758.47,17358.4,139.44,52.88,50.74,18.02,20.62,10,May,2025
BR003,Koramangala Branch,Bengaluru,South,Metro,24998,21427.38,14435.07,104.29,52.33,41.37,22.91,17.52,3,May,2025
BR004,Whitefield Branch,Bengaluru,South,Urban,12918,10371.34,7074.07,56.22,21.91,19.96,9.33,8.15,3,May,2025
BR005,Hubli Main Branch,Hubli,South,Urban,15938,9925.26,5767.48,37.79,21.41,27.21,11.64,5.62,0,May,2025
BR006,Mysore Central Branch,Mysore,South,Urban,20060,12544.5,8290.45,60.0,36.85,25.6,9.27,8.1,2,May,2025
BR007,Chennai Central Branch,Chennai,South,Metro,30169,32320.82,26436.99,224.98,89.28,28.88,19.11,12.15,16,May,2025
BR008,Coimbatore Main Branch,Coimbatore,South,Urban,18426,12277.84,8210.75,59.59,34.62,15.6,6.37,8.44,0,May,2025
BR009,Hyderabad Central Branch,Hyderabad,South,Metro,24628,18473.06,11500.29,90.82,46.05,27.68,19.06,6.83,10,May,2025
BR010,Pune Camp Branch,Pune,West,Metro,33461,29683.88,22686.19,162.85,69.56,53.22,29.38,14.75,11,May,2025
BR011,Mumbai Andheri Branch,Mumbai,West,Metro,27358,22396.1,17034.21,135.43,74.33,31.41,20.1,12.0,9,May,2025
BR012,Nagpur Main Branch,Nagpur,West,Urban,18731,15017.57,10721.62,83.5,26.65,19.79,8.93,7.22,9,May,2025
BR013,Ahmedabad Central Branch,Ahmedabad,West,Metro,18562,14590.95,9437.38,72.52,37.1,34.72,22.83,17.0,5,May,2025
BR014,Jaipur Main Branch,Jaipur,North,Urban,12249,8647.93,5383.66,42.96,20.82,22.63,5.98,9.63,4,May,2025
BR015,Delhi Connaught Branch,Delhi,North,Metro,29666,25035.11,18956.02,144.04,70.7,30.5,20.12,13.37,5,May,2025
BR016,Lucknow Central Branch,Lucknow,North,Urban,11927,6645.79,3730.28,25.1,14.08,26.37,10.65,7.84,0,May,2025
BR017,Kolkata Central Branch,Kolkata,East,Metro,28797,19791.76,12765.02,90.72,42.37,35.2,12.09,11.97,2,May,2025
BR018,Bhubaneswar Main Branch,Bhubaneswar,East,Urban,11609,9285.66,7074.34,50.47,18.74,19.7,9.92,8.27,7,May,2025
BR019,Patna Main Branch,Patna,East,Semi-Urban,8706,5725.38,3535.15,23.26,10.03,9.92,4.99,6.43,0,May,2025
BR020,Ranchi Main Branch,Ranchi,East,Semi-Urban,11114,7344.01,4208.59,30.76,15.26,11.56,2.43,5.17,3,May,2025
BR001,MG Road Branch,Bengaluru,South,Metro,35103,34810.25,25512.07,197.65,71.97,40.02,24.36,12.4,13,June,2025
BR002,Indiranagar Branch,Bengaluru,South,Metro,30542,23147.44,17507.67,137.53,54.57,50.91,18.02,20.44,12,June,2025
BR003,Koramangala Branch,Bengaluru,South,Metro,25085,21778.19,14876.95,108.57,51.52,41.01,22.91,17.2,8,June,2025
BR004,Whitefield Branch,Bengaluru,South,Urban,12919,10089.15,6809.72,54.38,22.19,20.23,9.33,8.09,3,June,2025
BR005,Hubli Main Branch,Hubli,South,Urban,15687,9670.58,5847.97,38.64,20.82,27.64,11.64,5.96,1,June,2025
BR006,Mysore Central Branch,Mysore,South,Urban,19941,12747.7,8262.65,59.4,36.43,25.53,9.27,8.64,4,June,2025
BR007,Chennai Central Branch,Chennai,South,Metro,29869,33171.69,27214.62,232.61,88.46,28.47,19.11,11.05,15,June,2025
BR008,Coimbatore Main Branch,Coimbatore,South,Urban,18521,12245.47,7955.16,58.49,34.04,15.74,6.37,8.04,4,June,2025
BR009,Hyderabad Central Branch,Hyderabad,South,Metro,25359,19563.83,11787.72,92.62,44.78,27.94,19.06,7.32,7,June,2025
BR010,Pune Camp Branch,Pune,West,Metro,34306,30998.85,23963.91,172.85,68.79,52.21,29.38,15.46,11,June,2025
BR011,Mumbai Andheri Branch,Mumbai,West,Metro,26627,22153.19,16285.79,126.54,71.49,31.48,20.1,11.01,11,June,2025
BR012,Nagpur Main Branch,Nagpur,West,Urban,18755,15035.34,10916.74,82.81,26.14,20.25,8.93,7.14,6,June,2025
BR013,Ahmedabad Central Branch,Ahmedabad,West,Metro,19030,14934.03,9647.8,73.38,37.64,34.95,22.83,19.3,5,June,2025
BR014,Jaipur Main Branch,Jaipur,North,Urban,12308,8811.97,5613.57,43.76,20.42,22.7,5.98,9.94,3,June,2025
BR015,Delhi Connaught Branch,Delhi,North,Metro,29607,24721.69,19013.02,149.21,71.53,31.37,20.12,14.05,9,June,2025
BR016,Lucknow Central Branch,Lucknow,North,Urban,11956,6462.79,3696.91,24.72,14.92,26.76,10.65,7.65,3,June,2025
BR017,Kolkata Central Branch,Kolkata,East,Metro,28675,19343.94,12252.4,86.88,41.26,35.07,12.09,10.85,5,June,2025
BR018,Bhubaneswar Main Branch,Bhubaneswar,East,Urban,11845,9386.39,6849.16,49.95,18.6,19.8,9.92,7.99,0,June,2025
BR019,Patna Main Branch,Patna,East,Semi-Urban,9083,5862.65,3506.7,23.36,10.37,9.93,4.99,7.04,0,June,2025
BR020,Ranchi Main Branch,Ranchi,East,Semi-Urban,10872,6987.97,4015.38,29.02,14.62,11.43,2.43,5.34,4,June,2025
BR001,MG Road Branch,Bengaluru,South,Metro,34340,34159.58,24649.09,186.41,70.11,39.54,24.36,13.89,20,July,2025
BR002,Indiranagar Branch,Bengaluru,South,Metro,30268,23025.3,17040.33,133.98,55.35,50.77,18.02,22.06,6,July,2025
BR003,Koramangala Branch,Bengaluru,South,Metro,25314,22042.89,15043.74,107.94,52.02,41.17,22.91,17.15,10,July,2025
BR004,Whitefield Branch,Bengaluru,South,Urban,13112,10428.68,7086.94,56.58,23.5,20.14,9.33,8.45,3,July,2025
BR005,Hubli Main Branch,Hubli,South,Urban,16253,10081.77,6046.83,40.15,22.33,27.66,11.64,5.87,1,July,2025
BR006,Mysore Central Branch,Mysore,South,Urban,20602,13081.92,8694.17,61.3,36.25,26.0,9.27,7.97,0,July,2025
BR007,Chennai Central Branch,Chennai,South,Metro,30495,33582.29,27211.08,227.78,87.48,28.94,19.11,11.89,7,July,2025
BR008,Coimbatore Main Branch,Coimbatore,South,Urban,18394,12362.59,8042.71,57.36,33.41,15.81,6.37,7.87,4,July,2025
BR009,Hyderabad Central Branch,Hyderabad,South,Metro,25530,19525.77,11951.89,93.71,47.71,28.07,19.06,6.95,12,July,2025
BR010,Pune Camp Branch,Pune,West,Metro,35359,31346.1,23547.19,164.56,74.2,53.07,29.38,14.42,24,July,2025
BR011,Mumbai Andheri Branch,Mumbai,West,Metro,27666,22624.55,17181.42,135.68,76.77,31.77,20.1,11.22,9,July,2025
BR012,Nagpur Main Branch,Nagpur,West,Urban,19010,15125.96,11051.37,85.36,26.08,20.02,8.93,7.76,5,July,2025
BR013,Ahmedabad Central Branch,Ahmedabad,West,Metro,19058,14994.02,9620.06,73.17,39.19,34.13,22.83,18.23,5,July,2025
BR014,Jaipur Main Branch,Jaipur,North,Urban,12328,8565.6,5466.61,42.9,21.27,22.77,5.98,9.89,3,July,2025
BR015,Delhi Connaught Branch,Delhi,North,Metro,29754,24964.67,19555.31,151.5,71.43,30.83,20.12,13.72,7,July,2025
BR016,Lucknow Central Branch,Lucknow,North,Urban,12121,6655.01,3781.55,25.55,14.87,26.89,10.65,7.0,1,July,2025
BR017,Kolkata Central Branch,Kolkata,East,Metro,27815,18885.01,12130.55,87.09,41.6,35.23,12.09,11.55,3,July,2025
BR018,Bhubaneswar Main Branch,Bhubaneswar,East,Urban,11957,9587.65,7314.56,53.96,19.27,19.68,9.92,7.98,5,July,2025
BR019,Patna Main Branch,Patna,East,Semi-Urban,8860,5696.36,3455.38,22.15,10.09,9.97,4.99,6.3,2,July,2025
BR020,Ranchi Main Branch,Ranchi,East,Semi-Urban,11096,7295.69,4350.65,30.81,15.6,11.42,2.43,4.94,0,July,2025
BR001,MG Road Branch,Bengaluru,South,Metro,35551,34820.74,25109.89,194.01,74.33,39.23,24.36,13.43,7,August,2025
BR002,Indiranagar Branch,Bengaluru,South,Metro,31160,23483.91,17604.79,141.21,55.94,51.75,18.02,20.41,5,August,2025
BR003,Koramangala Branch,Bengaluru,South,Metro,25183,22320.26,14617.16,107.29,53.23,41.68,22.91,18.88,6,August,2025
BR004,Whitefield Branch,Bengaluru,South,Urban,13289,10571.36,7250.12,57.23,22.97,19.74,9.33,8.22,4,August,2025
BR005,Hubli Main Branch,Hubli,South,Urban,16298,10215.53,5953.77,39.61,21.93,27.2,11.64,5.72,5,August,2025
BR006,Mysore Central Branch,Mysore,South,Urban,20614,13106.92,8444.05,60.68,37.88,25.8,9.27,7.94,3,August,2025
BR007,Chennai Central Branch,Chennai,South,Metro,30345,33128.28,26642.59,228.25,89.84,29.02,19.11,11.1,14,August,2025
BR008,Coimbatore Main Branch,Coimbatore,South,Urban,18373,12218.19,7884.59,57.69,34.89,15.53,6.37,8.5,9,August,2025
BR009,Hyderabad Central Branch,Hyderabad,South,Metro,24878,19066.45,11823.95,93.74,46.19,28.16,19.06,6.94,8,August,2025
BR010,Pune Camp Branch,Pune,West,Metro,35426,32120.05,24600.42,177.28,72.3,53.61,29.38,15.33,11,August,2025
BR011,Mumbai Andheri Branch,Mumbai,West,Metro,27353,22101.26,16099.7,126.28,74.79,31.83,20.1,12.56,9,August,2025
BR012,Nagpur Main Branch,Nagpur,West,Urban,18750,14890.47,11008.14,84.44,25.53,20.11,8.93,7.93,2,August,2025
BR013,Ahmedabad Central Branch,Ahmedabad,West,Metro,18891,14720.96,9710.86,74.51,37.82,34.79,22.83,17.99,6,August,2025
BR014,Jaipur Main Branch,Jaipur,North,Urban,12446,8715.22,5587.19,43.99,21.08,22.99,5.98,10.19,1,August,2025
BR015,Delhi Connaught Branch,Delhi,North,Metro,29682,24836.22,19504.42,152.78,72.87,31.18,20.12,13.65,10,August,2025
BR016,Lucknow Central Branch,Lucknow,North,Urban,12085,6497.71,3725.16,25.48,14.47,26.94,10.65,7.03,2,August,2025
BR017,Kolkata Central Branch,Kolkata,East,Metro,29236,20163.46,12645.18,91.22,42.42,35.6,12.09,10.93,3,August,2025
BR018,Bhubaneswar Main Branch,Bhubaneswar,East,Urban,11938,9407.64,7037.18,50.62,18.85,19.87,9.92,7.24,5,August,2025
BR019,Patna Main Branch,Patna,East,Semi-Urban,8928,5839.89,3488.89,22.87,10.78,9.98,4.99,6.56,2,August,2025
BR020,Ranchi Main Branch,Ranchi,East,Semi-Urban,10963,7218.73,4268.21,31.02,15.48,11.45,2.43,4.96,2,August,2025
BR001,MG Road Branch,Bengaluru,South,Metro,35502,35323.71,25480.93,195.92,73.64,39.75,24.36,13.62,11,September,2025
BR002,Indiranagar Branch,Bengaluru,South,Metro,30514,23218.31,17740.45,143.37,55.27,51.7,18.02,21.96,5,September,2025
BR003,Koramangala Branch,Bengaluru,South,Metro,25323,22066.73,14468.76,103.99,51.38,42.2,22.91,17.17,5,September,2025
BR004,Whitefield Branch,Bengaluru,South,Urban,12984,10227.42,6693.79,51.79,22.43,20.15,9.33,8.8,3,September,2025
BR005,Hubli Main Branch,Hubli,South,Urban,16182,9897.94,5850.5,38.61,22.21,27.54,11.64,5.95,3,September,2025
BR006,Mysore Central Branch,Mysore,South,Urban,20468,13202.29,8788.87,63.4,36.51,26.08,9.27,9.17,0,September,2025
BR007,Chennai Central Branch,Chennai,South,Metro,30311,32471.85,26184.55,217.09,88.29,28.86,19.11,10.87,12,September,2025
BR008,Coimbatore Main Branch,Coimbatore,South,Urban,18078,11984.08,7988.22,57.09,32.83,15.52,6.37,8.72,3,September,2025
BR009,Hyderabad Central Branch,Hyderabad,South,Metro,25603,19791.39,12164.24,98.61,47.17,27.5,19.06,7.66,2,September,2025
BR010,Pune Camp Branch,Pune,West,Metro,34797,30915.65,23655.25,167.86,69.41,52.24,29.38,15.07,14,September,2025
BR011,Mumbai Andheri Branch,Mumbai,West,Metro,28059,23159.17,17231.15,135.77,75.56,31.44,20.1,12.37,13,September,2025
BR012,Nagpur Main Branch,Nagpur,West,Urban,18637,15035.16,10851.36,82.63,25.15,20.07,8.93,7.7,4,September,2025
BR013,Ahmedabad Central Branch,Ahmedabad,West,Metro,18901,14419.04,9670.71,73.71,38.61,34.07,22.83,18.03,3,September,2025
BR014,Jaipur Main Branch,Jaipur,North,Urban,12002,8458.96,5242.37,40.85,20.46,22.83,5.98,9.83,4,September,2025
BR015,Delhi Connaught Branch,Delhi,North,Metro,30609,25948.76,19730.14,155.09,73.48,30.8,20.12,12.96,7,September,2025
BR016,Lucknow Central Branch,Lucknow,North,Urban,12215,6760.25,3893.62,26.13,14.65,26.46,10.65,6.92,1,September,2025
BR017,Kolkata Central Branch,Kolkata,East,Metro,29382,20128.43,12650.32,90.36,42.26,35.15,12.09,11.89,8,September,2025
BR018,Bhubaneswar Main Branch,Bhubaneswar,East,Urban,12000,9548.68,7010.97,51.79,19.64,19.86,9.92,7.85,4,September,2025
BR019,Patna Main Branch,Patna,East,Semi-Urban,9260,6092.85,3661.28,23.88,11.17,9.87,4.99,6.92,1,September,2025
BR020,Ranchi Main Branch,Ranchi,East,Semi-Urban,11077,7251.36,4227.41,30.33,15.29,11.46,2.43,5.24,5,September,2025
BR001,MG Road Branch,Bengaluru,South,Metro,34802,34574.64,24935.29,193.55,73.31,39.12,24.36,14.01,13,October,2025
BR002,Indiranagar Branch,Bengaluru,South,Metro,31492,23513.15,17809.37,142.44,57.46,51.62,18.02,20.65,5,October,2025
BR003,Koramangala Branch,Bengaluru,South,Metro,26256,23066.97,15730.36,113.77,52.42,41.9,22.91,18.59,13,October,2025
BR004,Whitefield Branch,Bengaluru,South,Urban,13551,10944.73,7374.78,57.01,23.62,19.72,9.33,8.57,1,October,2025
BR005,Hubli Main Branch,Hubli,South,Urban,15853,9970.26,6072.15,39.38,21.86,27.57,11.64,5.58,3,October,2025
BR006,Mysore Central Branch,Mysore,South,Urban,20219,12782.6,8333.2,59.21,36.0,26.07,9.27,9.14,6,October,2025
BR007,Chennai Central Branch,Chennai,South,Metro,30038,32961.46,26398.17,226.25,86.97,28.66,19.11,11.75,9,October,2025
BR008,Coimbatore Main Branch,Coimbatore,South,Urban,18277,12259.44,8200.56,60.35,34.16,15.6,6.37,7.68,4,October,2025
BR009,Hyderabad Central Branch,Hyderabad,South,Metro,24986,19189.31,11621.2,90.96,45.45,27.44,19.06,6.93,2,October,2025
BR010,Pune Camp Branch,Pune,West,Metro,34658,31345.86,23780.74,165.55,70.48,52.48,29.38,15.75,10,October,2025
BR011,Mumbai Andheri Branch,Mumbai,West,Metro,27548,22982.52,16807.45,132.51,75.17,31.51,20.1,12.08,13,October,2025
BR012,Nagpur Main Branch,Nagpur,West,Urban,19508,15657.83,11645.2,90.65,26.76,19.74,8.93,7.88,6,October,2025
BR013,Ahmedabad Central Branch,Ahmedabad,West,Metro,18996,14580.58,9332.45,72.03,38.18,34.77,22.83,19.08,6,October,2025
BR014,Jaipur Main Branch,Jaipur,North,Urban,12124,8635.47,5509.26,43.44,20.53,22.79,5.98,10.52,2,October,2025
BR015,Delhi Connaught Branch,Delhi,North,Metro,29599,24233.44,18637.69,142.52,72.97,30.46,20.12,13.04,5,October,2025
BR016,Lucknow Central Branch,Lucknow,North,Urban,12307,6608.41,3736.99,25.61,14.95,26.79,10.65,7.05,3,October,2025
BR017,Kolkata Central Branch,Kolkata,East,Metro,28160,19454.85,12510.3,87.72,40.82,34.7,12.09,11.27,3,October,2025
BR018,Bhubaneswar Main Branch,Bhubaneswar,East,Urban,11952,9549.77,7277.08,53.5,18.55,19.97,9.92,8.16,3,October,2025
BR019,Patna Main Branch,Patna,East,Semi-Urban,9009,5765.21,3523.52,23.25,10.55,9.74,4.99,7.02,4,October,2025
BR020,Ranchi Main Branch,Ranchi,East,Semi-Urban,11222,7190.28,4151.61,29.35,15.61,11.53,2.43,5.01,2,October,2025
BR001,MG Road Branch,Bengaluru,South,Metro,35971,34898.69,25050.4,194.99,73.1,39.6,24.36,14.02,8,November,2025
BR002,Indiranagar Branch,Bengaluru,South,Metro,30227,23131.79,17494.94,136.85,55.92,51.37,18.02,21.03,7,November,2025
BR003,Koramangala Branch,Bengaluru,South,Metro,25316,22036.83,14570.05,104.33,53.13,42.21,22.91,18.48,8,November,2025
BR004,Whitefield Branch,Bengaluru,South,Urban,13500,10571.07,7126.1,57.09,23.11,20.15,9.33,9.27,8,November,2025
BR005,Hubli Main Branch,Hubli,South,Urban,16378,10037.71,5998.84,40.01,21.98,27.15,11.64,5.31,3,November,2025
